Ukrainian Index of Retail Deposit rates,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,retrieved
,3M,6M,9M,12M,3M,6M,9M,12M,3M,6M,9M,12M,"11/03/2022, 23:07:56"
2022-01-04 00:00:00,7.41,8.45,8.66,8.98,0.4,0.62,0.79,1.05,0.25,0.33,0.26,0.5,"11/03/2022, 23:07:56"
2022-01-05 00:00:00,7.41,8.45,8.66,8.98,0.4,0.62,0.79,1.05,0.25,0.33,0.26,0.5,"11/03/2022, 23:07:56"
2022-01-06 00:00:00,7.41,8.45,8.66,8.98,0.4,0.62,0.79,1.05,0.25,0.33,0.26,0.5,"11/03/2022, 23:07:56"
2022-01-10 00:00:00,7.41,8.45,8.66,8.98,0.4,0.62,0.79,1.05,0.25,0.33,0.26,0.5,"11/03/2022, 23:07:56"
2022-01-11 00:00:00,7.41,8.45,8.66,8.98,0.4,0.62,0.79,1.05,0.25,0.33,0.26,0.5,"11/03/2022, 23:07:56"
2022-01-12 00:00:00,7.41,8.45,8.66,8.98,0.4,0.62,0.79,1.05,0.25,0.33,0.26,0.5,"11/03/2022, 23:07:56"
2022-01-13 00:00:00,7.41,8.45,8.66,8.98,0.4,0.62,0.79,1.05,0.25,0.33,0.26,0.5,"11/03/2022, 23:07:56"
2022-01-14 00:00:00,7.41,8.45,8.66,8.98,0.4,0.62,0.79,1.05,0.25,0.33,0.26,0.5,"11/03/2022, 23:07:56"
2022-01-17 00:00:00,7.41,8.45,8.66,8.98,0.4,0.62,0.79,1.05,0.25,0.33,0.26,0.5,"11/03/2022, 23:07:56"
2022-01-18 00:00:00,7.41,8.45,8.66,8.98,0.4,0.62,0.79,1.05,0.25,0.33,0.26,0.5,"11/03/2022, 23:07:56"
2022-01-19 00:00:00,7.41,8.45,8.66,8.98,0.4,0.62,0.79,1.05,0.25,0.33,0.26,0.5,"11/03/2022, 23:07:56"
2022-01-20 00:00:00,7.41,8.45,8.66,8.98,0.4,0.62,0.79,1.05,0.25,0.33,0.26,0.5,"11/03/2022, 23:07:56"
2022-01-21 00:00:00,7.44,8.48,8.72,9.05,0.4,0.62,0.79,1.05,0.25,0.33,0.26,0.5,"11/03/2022, 23:07:56"
2022-01-24 00:00:00,7.4,8.4,8.58,8.97,0.4,0.62,0.79,1.05,0.25,0.33,0.26,0.5,"11/03/2022, 23:07:56"
2022-01-25 00:00:00,7.4,8.4,8.58,8.97,0.4,0.62,0.79,1.05,0.25,0.33,0.26,0.5,"11/03/2022, 23:07:56"
2022-01-26 00:00:00,7.4,8.4,8.58,8.97,0.4,0.62,0.79,1.05,0.25,0.33,0.26,0.5,"11/03/2022, 23:07:56"
2022-01-27 00:00:00,7.4,8.4,8.58,8.97,0.4,0.62,0.79,1.05,0.25,0.33,0.26,0.5,"11/03/2022, 23:07:56"
2022-01-28 00:00:00,7.4,8.4,8.58,8.97,0.4,0.62,0.79,1.05,0.25,0.33,0.26,0.5,"11/03/2022, 23:07:56"
2022-01-31 00:00:00,7.63,8.48,8.77,9.09,0.4,0.7,0.79,1.14,0.25,0.42,0.26,0.59,"11/03/2022, 23:07:56"
2022-02-01 00:00:00,7.63,8.49,8.8,9.11,0.4,0.7,0.79,1.14,0.25,0.42,0.26,0.59,"11/03/2022, 23:07:56"
2022-02-02 00:00:00,7.63,8.49,8.8,9.11,0.4,0.7,0.79,1.14,0.25,0.42,0.26,0.59,"11/03/2022, 23:07:56"
2022-02-03 00:00:00,7.63,8.49,8.8,9.11,0.4,0.7,0.79,1.14,0.25,0.42,0.26,0.59,"11/03/2022, 23:07:56"
2022-02-04 00:00:00,7.63,8.49,8.8,9.11,0.4,0.7,0.79,1.14,0.25,0.42,0.26,0.59,"11/03/2022, 23:07:56"
2022-02-07 00:00:00,7.63,8.49,8.8,9.11,0.4,0.7,0.79,1.14,0.25,0.42,0.26,0.59,"11/03/2022, 23:07:56"
2022-02-08 00:00:00,7.63,8.49,8.8,9.11,0.4,0.7,0.79,1.14,0.25,0.42,0.26,0.59,"11/03/2022, 23:07:56"
2022-02-09 00:00:00,7.63,8.49,8.8,9.11,0.4,0.7,0.79,1.14,0.25,0.42,0.26,0.59,"11/03/2022, 23:07:56"
2022-02-10 00:00:00,7.63,8.49,8.8,9.11,0.4,0.69,0.77,1.13,0.25,0.42,0.26,0.59,"11/03/2022, 23:07:56"
2022-02-11 00:00:00,7.63,8.53,8.8,9.11,0.4,0.72,0.82,1.19,0.25,0.42,0.26,0.61,"11/03/2022, 23:07:56"
2022-02-14 00:00:00,7.63,8.53,8.8,9.11,0.4,0.72,0.82,1.19,0.25,0.42,0.26,0.61,"11/03/2022, 23:07:56"
2022-02-15 00:00:00,7.63,8.46,8.8,9.11,0.4,0.72,0.82,1.19,0.25,0.42,0.26,0.61,"11/03/2022, 23:07:56"
2022-02-16 00:00:00,7.63,8.46,8.8,9.11,0.4,0.72,0.82,1.19,0.25,0.42,0.26,0.61,"11/03/2022, 23:07:56"
2022-02-17 00:00:00,7.63,8.46,8.8,9.11,0.4,0.72,0.82,1.19,0.25,0.42,0.26,0.61,"11/03/2022, 23:07:56"
2022-02-18 00:00:00,7.76,8.59,8.91,9.17,0.42,0.77,0.84,1.22,0.25,0.43,0.26,0.61,"11/03/2022, 23:07:56"
2022-02-21 00:00:00,7.76,8.59,8.91,9.17,0.42,0.77,0.84,1.22,0.25,0.43,0.26,0.61,"11/03/2022, 23:07:56"
2022-02-22 00:00:00,7.76,8.59,8.91,9.17,0.42,0.77,0.84,1.22,0.25,0.43,0.26,0.61,"11/03/2022, 23:07:56"
2022-02-23 00:00:00,7.76,8.59,8.91,9.17,0.42,0.77,0.84,1.22,0.25,0.43,0.26,0.61,"11/03/2022, 23:07:56"
2022-02-24 00:00:00,7.36,8.36,8.91,8.93,0.47,0.67,0.84,1.09,0.17,0.24,0.26,0.32,"11/03/2022, 23:07:56"
2022-02-25 00:00:00,7.36,8.36,8.91,8.93,0.17,0.24,0.26,0.32,0.47,0.67,0.84,1.09,"11/03/2022, 23:07:56"
2022-02-28 00:00:00,7.36,8.36,8.91,8.93,0.17,0.24,0.26,0.32,0.47,0.67,0.84,1.09,"11/03/2022, 23:07:56"
2022-03-01 00:00:00,7.36,8.36,8.91,8.93,0.47,0.67,0.84,1.09,0.17,0.24,0.26,0.32,"11/03/2022, 23:07:56"
2022-03-02 00:00:00,7.36,8.36,8.91,8.93,0.47,0.67,0.84,1.09,0.17,0.24,0.26,0.32,"11/03/2022, 23:07:56"
2022-03-03 00:00:00,7.36,8.36,8.91,8.93,0.47,0.67,0.84,1.09,0.17,0.24,0.26,0.32,"11/03/2022, 23:07:56"
2022-03-04 00:00:00,7.36,8.36,8.91,8.93,0.47,0.67,0.84,1.09,0.17,0.24,0.26,0.32,"11/03/2022, 23:07:56"
2022-03-07 00:00:00,7.36,8.36,8.91,8.93,0.47,0.67,0.84,1.09,0.17,0.24,0.26,0.32,"11/03/2022, 23:07:56"
2022-03-08 00:00:00,7.36,8.36,8.91,8.93,0.47,0.67,0.84,1.09,0.17,0.24,0.26,0.32,"11/03/2022, 23:07:56"
2022-03-09 00:00:00,6.95,7.75,8.91,8.25,0.47,0.67,0.84,1.09,0.17,0.24,0.26,0.32,"11/03/2022, 23:07:56"
2022-03-10 00:00:00,6.95,7.75,8.91,8.25,0.47,0.67,0.84,1.09,0.17,0.24,0.26,0.32,"11/03/2022, 23:07:56"
2022-03-11 00:00:00,6.95,7.75,8.91,8.25,0.17,0.24,0.26,0.32,0.47,0.67,0.84,1.09,"11/03/2022, 23:07:56"
2022-03-12 00:00:00,6.95,7.75,8.91,8.25,0.17,0.24,0.26,0.32,0.47,0.67,0.84,1.09,"11/03/2022, 23:07:56"
2022-03-14 00:00:00,7.04,7.86,8.94,8.43,0.47,0.62,0.74,0.92,0.06,0.27,0.29,0.43,"11/03/2022, 23:07:56"
2022-03-15 00:00:00,7.88,8.56,8.94,9.22,0.39,0.66,0,0.99,0.08,0.32,0.29,0.5,"11/03/2022, 23:07:56"
2022-03-16 00:00:00,7.42,8.14,8.58,8.68,0.28,0.51,0.71,0.88,0.1,0.22,0.31,0.36,"11/03/2022, 23:07:56"
2022-03-17 00:00:00,7.21,7.99,8.58,8.5,0.28,0.42,0.71,0.77,0.1,0.19,0.31,0.28,"11/03/2022, 23:07:56"
2022-03-18 00:00:00,7.57,8.29,8.58,8.79,0.38,0.62,0,0.94,0.12,0.26,0,0.36,"11/03/2022, 23:07:56"
2022-03-21 00:00:00,7.05,7.86,8.39,8.31,0.32,0.46,0.79,0.81,0.11,0.21,0.34,0.29,"11/03/2022, 23:07:56"
2022-03-22 00:00:00,7.05,7.86,8.39,8.31,0.32,0.46,0.79,0.81,0.11,0.21,0.34,0.29,"11/03/2022, 23:07:56"
2022-03-23 00:00:00,7.46,8.21,8.64,8.75,0.38,0.46,0.69,0.76,0.12,0.19,0.27,0.25,"11/03/2022, 23:07:56"
2022-03-24 00:00:00,7.05,7.86,8.39,8.31,0.32,0.46,0.79,0.81,0.11,0.21,0.34,0.29,"11/03/2022, 23:07:56"
2022-03-25 00:00:00,7.47,8.22,8.58,8.8,0.3,0.47,0.71,0.8,0.11,0.21,0.31,0.34,"11/03/2022, 23:07:56"
2022-03-28 00:00:00,7.16,7.99,8.39,8.5,0.3,0.42,0.79,0.72,0.11,0.2,0.34,0.26,"11/03/2022, 23:07:56"
2022-03-29 00:00:00,7.27,8.09,8.35,8.63,0.3,0.51,0.79,0.83,0.11,0.22,0.34,0.35,"11/03/2022, 23:07:56"
2022-03-30 00:00:00,7.27,8.09,8.35,8.63,0.3,0.51,0.79,0.83,0.11,0.22,0.34,0.35,"11/03/2022, 23:07:56"
2022-03-31 00:00:00,7.38,8.17,8.54,8.75,0.3,0.47,0.71,0.8,0.11,0.2,0.31,0.34,"11/03/2022, 23:07:56"
2022-04-01 00:00:00,7.22,8.03,8.6,8.61,0.34,0.41,0.69,0.68,0.12,0.17,0.31,0.22,"11/03/2022, 23:07:56"
2022-04-04 00:00:00,7.38,8.18,8.5,8.73,0.38,0.61,0.86,0.89,0.12,0.21,0.31,0.3,"11/03/2022, 23:07:56"
2022-04-05 00:00:00,7.17,8.03,8.5,8.56,0.38,0.53,0.86,0.78,0.12,0.17,0.31,0.2,"11/03/2022, 23:07:56"
2022-04-06 00:00:00,6.94,7.82,8.46,8.33,0.33,0.48,0.85,0.78,0.11,0.17,0.3,0.24,"11/03/2022, 23:07:56"
2022-04-07 00:00:00,6.94,7.81,8.5,8.33,0.38,0.53,0.86,0.78,0.12,0.17,0.3,0.2,"11/03/2022, 23:07:56"
