Unnamed: 0,Table 1. Data Report Form for  Financial Soundness Indicators and Underlying Series,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,retrieved
,,Consoli-dation Basis,2019M1,2019M2,"2019M3/
2019Q1",2019M4,2019M5,"2019M6/
2019Q2",2019M7,2019M8,"2019M9/
2019Q3",2019M10,"2019M11
","2019M12/
2019Q4",2020M1,2020M2,"2020M3/
2020Q1",2020M4,2020M5,"2020M6/
2020Q2",2020M7,2020M8,"2020M9/
2020Q3",2020M10,2020M11,"2020M12/
2020Q4",2021M1,2021М2,"2021M3/
2021Q1",2021M4,2021М5,"2021M6/
2021Q2",2021M7,2021M8,"2021M9/
2021Q3",2021M10,2021M11,"2021M12/
2021Q4",2022M1,2022M2 13,"2022M3/
2022Q1 13",2022M4 13,2022M5,"2022M6/
2022Q2",2022M7,2022М8,"11/03/2022, 23:07:53"
,Core FSIs for Deposit takers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11/03/2022, 23:07:53"
І1,Regulatory capital to risk-weighted assets1,CBDI,16.52,16.93,16.96,16.21,17.65,17.47,17.42,18,18.43,18.59,18.72,19.66,20.31,20.12,19.29,19.71,22.17,21.91,21.52,21.44,21.91,21.76,21.63,21.98,21.39,22.36,22.59,23.02,22.64,21.65,21.72,21.29,21.59,21.69,21.44,18.01,17.99,…,…,…,16.65,17.16,17.11,16.92,"11/03/2022, 23:07:53"
S010,Total regulatory capital,CBDI,124984.66198104,126448.91219422,128231.18113824,123439.1815599,134910.10151407,136023.46639168,137905.84488378,142200.47868222,143946.11872246,146820.8278611,147073.24052626002,150313.83631065,150946.52541289,149264.49008411999,155287.70478979,154363.33857408,171704.40272713001,170821.42651427,172703.98292438,172954.11232864,178767.61963427,180737.3395066,181880.57753609,182283.62784879998,176957.02647857,175426.40937087,178607.15972348998,187474.185469212,189427.274160968,191534.898184418,196252.535898948,199161.67407942802,203740.30879844,206207.650939384,213309.25522141598,211742.262775115,218993.894153835,…,…,…,199083.171662555,202363.39609898,204061.913447345,197124.59246107502,"11/03/2022, 23:07:53"
S020,Risk-weighted assets1 ,CBDI,756355.33281825,746723.4208328499,755984.035244317,761627.065561834,764529.366857594,778590.642544712,791695.225984916,789957.9296967359,781060.310373865,789929.827351666,785734.804394108,764388.657354737,743149.743809369,741737.050080792,804927.127352735,783356.6836330771,774417.492147126,779543.05261712,802487.344568545,806753.186789325,816100.012833043,830616.00711149,840679.750697702,829174.94602553,827216.344520698,784625.9406318399,790560.110720818,814282.90279301,836550.462139211,884772.431528864,903658.375379052,935601.352250329,943698.2196965091,950523.404745228,994739.702110729,1175760.3033708502,1217239.68578506,…,…,…,1195786.52000755,1179085.79051629,1192434.4710436899,1165204.58572379,"11/03/2022, 23:07:53"
І2,Regulatory Tier 1 capital to risk-weighted assets1,CBDI,10.43,10.97,10.91,11.4,13.16,12.98,12.74,13,13.12,13.25,13.28,13.5,14.13,14.11,13.01,14.47,15.89,15.75,15.38,15.36,16.05,15.74,15.51,15.67,15.17,15.95,16.18,16.77,16.76,16.12,15.7,15.18,15.17,15.09,14.45,11.99,11.65,…,…,…,11.4,11.4,11.52,11.47,"11/03/2022, 23:07:53"
S030,Regulatory Tier 1 capital,CBDI,78895.85815059,81911.07976023,82511.81798889,86818.96264294999,100615.80385392002,101071.65551712,100833.17038347,102702.51334684,102464.44477527,104688.04801344,104349.85245961,103198.21610508,104995.93898846001,104660.07425671001,104688.259631,113379.97957463001,123052.55965981,122804.86635627999,123439.32198036001,123945.05970560001,130986.63151039,130773.91410493,130415.48833086,129961.81163316,125449.80519013,125133.25764299001,127916.49298144001,136542.76704173,140245.062815084,142631.55535067,141840.072937946,142056.51669805803,143171.332170072,143476.349203652,143773.58408388,140955.73770539497,141853.57369192,…,…,…,136316.88227731,134402.48879759,137317.02058611,133682.501496125,"11/03/2022, 23:07:53"
S040,Risk-weighted assets1 ,CBDI,756355.33281825,746723.4208328499,755984.035244317,761627.065561834,764529.366857594,778590.642544712,791695.225984916,789957.9296967359,781060.310373865,789929.827351666,785734.804394108,764388.657354737,743149.743809369,741737.050080792,804927.127352735,783356.6836330771,774417.492147126,779543.05261712,802487.344568545,806753.186789325,816100.012833043,830616.00711149,840679.750697702,829174.94602553,827216.344520698,784625.9406318399,790560.110720818,814282.90279301,836550.462139211,884772.431528864,903658.375379052,935601.352250329,943698.2196965091,950523.404745228,994739.702110729,1175760.3033708502,1217239.68578506,…,…,…,1195786.52000755,1179085.79051629,1192434.4710436899,1165204.58572379,"11/03/2022, 23:07:53"
I3,Nonperforming loans2 net of provisions to capital ,CBDI,56.09,45.22,44.09,46.04,41.65,38.27,36.43,33.59,31.53,31.31,29.44,25.28,25.14,23.73,25.44,23.52,24.48,24.83,25.03,24.53,23.14,22.53,22.69,21.91,22.53,21.78,21.05,23.45,21.85,21.09,18.51,17.62,16.36,15.53,14.07,11.4,11.39,11.45,12.4,13.26,12.9,18.92,17.22,17.41,"11/03/2022, 23:07:53"
S050,Nonperforming loans2 net of provisions,CBDI,85950.91247811005,72361.20575815998,71563.58881835011,69138.86916204996,66837.50367261004,63743.01572688011,63089.64170102001,60805.98570538004,58785.88336980005,59098.34571879002,58102.9003705699,50777.80721964,52420.00536205998,51514.202861760044,52555.25287037995,50529.80953368993,49126.84484363004,48881.35011586,49803.529163320025,49654.23233654996,48158.40654602996,47413.77255300997,48221.195648439985,46196.98183243,48182.095892919984,46518.06604214001,45598.60086234001,47621.65254606999,44909.75128945004,44068.62486283999,40334.26414000004,39364.71494109003,37741.40702207002,36767.762332779996,34335.64250831999,29137.53095715004,29536.12974984001,28227.21860175993,25795.72344301996,26568.80273212999,26665.72022875998,38457.69744866999,41167.22658858,42344.48392312997,"11/03/2022, 23:07:53"
S060,Capital,CBDI,153241.61504285,160028.83118011002,162328.37682517,150160.4312482,160476.43362300997,166544.14646122998,173179.76444785,181033.50838252003,186418.88874675002,188738.61344852,197337.00802646,200828.99275675998,208507.28046503,217127.71403339,206552.55567907004,214838.51714828,200646.34150858,196885.2965938,198989.47166701002,202418.24152823,208142.52419219998,210424.53782975,212549.82709385,210831.83625327997,213825.57798712,213614.05403065,216620.97271781,203069.20078752,205534.19534971,208908.6971674,217960.73492319998,223353.53107569,230694.42896843998,236767.23996719005,244081.34592395,255678.06622036002,259293.28112859002,246434.09432571998,208107.24262011997,200365.03204278,206786.32987916004,203227.23996518,239105.08854816997,243274.01235561,"11/03/2022, 23:07:53"
