Country,Income group,UN region,Commodity,total metric tons,retrieved
Afghanistan,low-income,Asia-Pacific,Wheat,"40,000","11/03/2022, 23:06:16"
Algeria,lower-middle income,Africa,Wheat,"154,770","11/03/2022, 23:06:16"
Bangladesh,lower-middle income,Asia-Pacific,Wheat,"269,041","11/03/2022, 23:06:16"
Belgium,high-income,Western Europe and Others,Corn,"35,000","11/03/2022, 23:06:16"
Belgium,high-income,Western Europe and Others,Rapeseed,"117,033","11/03/2022, 23:06:16"
Bulgaria,upper-middle-income,Eastern Europe,Sunflower meal,"19,835","11/03/2022, 23:06:16"
Bulgaria,upper-middle-income,Eastern Europe,Sunflower oil,"5,801","11/03/2022, 23:06:16"
Bulgaria,upper-middle-income,Eastern Europe,Sunflower pellets,"8,800","11/03/2022, 23:06:16"
China,upper-middle-income,Asia-Pacific,Barley,"89,194","11/03/2022, 23:06:16"
China,upper-middle-income,Asia-Pacific,Corn,"418,855","11/03/2022, 23:06:16"
China,upper-middle-income,Asia-Pacific,Mixed,"64,303","11/03/2022, 23:06:16"
China,upper-middle-income,Asia-Pacific,Sunflower meal,"454,875","11/03/2022, 23:06:16"
China,upper-middle-income,Asia-Pacific,Sunflower oil,"40,000","11/03/2022, 23:06:16"
Djibouti,lower-middle income,Africa,Sunflower oil,"6,200","11/03/2022, 23:06:16"
Djibouti,lower-middle income,Africa,Wheat,541,"11/03/2022, 23:06:16"
Egypt,lower-middle income,Africa,Corn,"278,681","11/03/2022, 23:06:16"
Egypt,lower-middle income,Africa,Soya beans,"32,100","11/03/2022, 23:06:16"
Egypt,lower-middle income,Africa,Sunflower oil,"3,100","11/03/2022, 23:06:16"
Egypt,lower-middle income,Africa,Wheat,"114,900","11/03/2022, 23:06:16"
Ethiopia,low-income,Africa,Wheat,"112,759","11/03/2022, 23:06:16"
EU,,,Rapeseed,"60,000","11/03/2022, 23:06:16"
France,high-income,Western Europe and Others,Canola,"29,256","11/03/2022, 23:06:16"
France,high-income,Western Europe and Others,Rapeseed,"107,557","11/03/2022, 23:06:16"
France,high-income,Western Europe and Others,Sunflower meal,"23,452","11/03/2022, 23:06:16"
France,high-income,Western Europe and Others,Sunflower seed,"43,169","11/03/2022, 23:06:16"
Georgia,upper-middle-income,Eastern Europe,Soya beans,"6,000","11/03/2022, 23:06:16"
Germany,high-income,Western Europe and Others,Corn,"194,260","11/03/2022, 23:06:16"
Germany,high-income,Western Europe and Others,Rapeseed,"78,017","11/03/2022, 23:06:16"
Greece,high-income,Western Europe and Others,Barley,"8,658","11/03/2022, 23:06:16"
Greece,high-income,Western Europe and Others,Corn,"44,114","11/03/2022, 23:06:16"
Greece,high-income,Western Europe and Others,Rapeseed meal,"6,200","11/03/2022, 23:06:16"
Greece,high-income,Western Europe and Others,Wheat,"33,906","11/03/2022, 23:06:16"
India,lower-middle income,Asia-Pacific,Sunflower oil,"207,600","11/03/2022, 23:06:16"
Indonesia,lower-middle income,Asia-Pacific,Wheat,"155,497","11/03/2022, 23:06:16"
Iran,lower-middle income,Asia-Pacific,Corn,"126,234","11/03/2022, 23:06:16"
Iraq,upper-middle-income,Asia-Pacific,Sunflower oil,"33,000","11/03/2022, 23:06:16"
Ireland,high-income,Western Europe and Others,Corn,"33,000","11/03/2022, 23:06:16"
Israel,high-income,Western Europe and Others,Corn,"176,611","11/03/2022, 23:06:16"
Israel,high-income,Western Europe and Others,Rapeseed meal,"5,550","11/03/2022, 23:06:16"
Israel,high-income,Western Europe and Others,Soya beans,"6,000","11/03/2022, 23:06:16"
Israel,high-income,Western Europe and Others,Sunflower meal,"14,310","11/03/2022, 23:06:16"
Israel,high-income,Western Europe and Others,Wheat,"33,000","11/03/2022, 23:06:16"
Italy,high-income,Western Europe and Others,Corn,"600,664","11/03/2022, 23:06:16"
Italy,high-income,Western Europe and Others,Rapeseed meal,"3,400","11/03/2022, 23:06:16"
Italy,high-income,Western Europe and Others,Soya beans,"63,400","11/03/2022, 23:06:16"
Italy,high-income,Western Europe and Others,Sunflower meal,"9,750","11/03/2022, 23:06:16"
Italy,high-income,Western Europe and Others,Sunflower oil,"46,230","11/03/2022, 23:06:16"
Italy,high-income,Western Europe and Others,Sunflower seed,"11,600","11/03/2022, 23:06:16"
Italy,high-income,Western Europe and Others,Wheat,"157,874","11/03/2022, 23:06:16"
Kenya,lower-middle income,Africa,Wheat,"104,776","11/03/2022, 23:06:16"
Lebanon,lower-middle income,Asia-Pacific,Corn,"54,457","11/03/2022, 23:06:16"
Lebanon,lower-middle income,Asia-Pacific,Sunflower oil,"2,973","11/03/2022, 23:06:16"
Lebanon,lower-middle income,Asia-Pacific,Wheat,"6,600","11/03/2022, 23:06:16"
Libya,upper-middle-income,Africa,Barley,"71,981","11/03/2022, 23:06:16"
Libya,upper-middle-income,Africa,Corn,"109,500","11/03/2022, 23:06:16"
Libya,upper-middle-income,Africa,Wheat,"22,800","11/03/2022, 23:06:16"
Malaysia,upper-middle-income,Asia-Pacific,Sunflower oil,"4,000","11/03/2022, 23:06:16"
Mixed,,,Corn,"26,527","11/03/2022, 23:06:16"
Morocco,lower-middle income,Africa,Sunflower meal,"12,690","11/03/2022, 23:06:16"
Oman,high-income,Asia-Pacific,Sunflower oil,"32,150","11/03/2022, 23:06:16"
Pakistan,lower-middle income,Asia-Pacific,Rapeseed,"61,815","11/03/2022, 23:06:16"
Portugal,high-income,Western Europe and Others,Barley,"6,834","11/03/2022, 23:06:16"
Portugal,high-income,Western Europe and Others,Canola,"22,000","11/03/2022, 23:06:16"
Portugal,high-income,Western Europe and Others,Corn,"18,716","11/03/2022, 23:06:16"
Portugal,high-income,Western Europe and Others,Wheat,"7,757","11/03/2022, 23:06:16"
Republic of Korea,high-income,Asia-Pacific,Corn,"184,720","11/03/2022, 23:06:16"
Republic of Korea,high-income,Asia-Pacific,Sugar beet pellet,"14,000","11/03/2022, 23:06:16"
Romania,high-income,Eastern Europe,Corn,"203,085","11/03/2022, 23:06:16"
Romania,high-income,Eastern Europe,Rapeseed,"13,200","11/03/2022, 23:06:16"
Romania,high-income,Eastern Europe,Sunflower oil,"28,450","11/03/2022, 23:06:16"
Romania,high-income,Eastern Europe,Wheat,"9,111","11/03/2022, 23:06:16"
Somalia,low-income,Africa,Wheat,"28,500","11/03/2022, 23:06:16"
Spain,high-income,Western Europe and Others,Barley,"193,767","11/03/2022, 23:06:16"
Spain,high-income,Western Europe and Others,Corn,"864,991","11/03/2022, 23:06:16"
Spain,high-income,Western Europe and Others,Mixed,"31,000","11/03/2022, 23:06:16"
Spain,high-income,Western Europe and Others,Sunflower meal,"31,907","11/03/2022, 23:06:16"
Spain,high-income,Western Europe and Others,Sunflower oil,"24,159","11/03/2022, 23:06:16"
Spain,high-income,Western Europe and Others,Sunflower seed,"18,150","11/03/2022, 23:06:16"
Spain,high-income,Western Europe and Others,Wheat,"730,968","11/03/2022, 23:06:16"
Sudan,low-income,Africa,Wheat,"65,340","11/03/2022, 23:06:16"
The Netherlands,high-income,Western Europe and Others,Corn,"426,178","11/03/2022, 23:06:16"
The Netherlands,high-income,Western Europe and Others,Rapeseed,"166,111","11/03/2022, 23:06:16"
The Netherlands,high-income,Western Europe and Others,Soya beans,"26,786","11/03/2022, 23:06:16"
The Netherlands,high-income,Western Europe and Others,Sunflower meal,"18,500","11/03/2022, 23:06:16"
The Netherlands,high-income,Western Europe and Others,Sunflower oil,"9,600","11/03/2022, 23:06:16"
Tunisia,lower-middle income,Africa,Corn,"60,698","11/03/2022, 23:06:16"
Tunisia,lower-middle income,Africa,Soya oil,"2,200","11/03/2022, 23:06:16"
Tunisia,lower-middle income,Africa,Wheat,"123,550","11/03/2022, 23:06:16"
Türkiye,upper-middle-income,Asia-Pacific,Barley,"61,400","11/03/2022, 23:06:16"
