"1. Interest rates of deposit-taking corporations (excluding National Bank of Ukraine) on loans (new business), breakdown by regions 
and sectors of economy",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,,None.1,None.2,retrieved
Ukraine,,,18.2637,15.5943,21.9872,16.0035,30.8806,10.347,1.4005,,,,,,,,"11/03/2022, 23:07:51"
including,overdraft,,18.153,22.0447,19.4243,17.1169,19.5615,19.3724,37.1737,,,,,,,,"11/03/2022, 23:07:51"
,excluding overdraft,,18.2774,14.7497,22,15.9116,35.6549,9.2434,1.3842,,,,,,,,"11/03/2022, 23:07:51"
,including by original maturity,up to 1 year,18.4213,14.0828,0,16.1306,36.6744,4.995,1.3826,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,17.4442,16.8614,22,14.0082,31.7268,18.6977,28.5866,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,12.2334,0,0,7.872,21.8994,16.4936,0,,,,,,,,"11/03/2022, 23:07:51"
including by currencies,in national currency,total,21.7384,15.6008,21.9872,19.5928,30.8753,16.4516,40.264,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,18.2098,22.0447,19.4243,17.3377,19.3802,19.3724,36.6985,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,22.3048,14.7565,22,19.8455,35.6773,15.7238,40.3963,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,22.5916,14.0828,0,20.1875,36.6792,12.3383,40.4547,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,19.3858,16.8956,22,15.8583,31.7511,18.6977,28.5866,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,21.2009,0,0,19.244,22.1964,16.4936,0,,,,,,,,"11/03/2022, 23:07:51"
,in foreign currency,total,5.5534,4.0655,0,5.4863,32.3564,3,0.921,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,13.771,0,0,2.3219,36.9346,0,46.7416,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,5.4991,4.0655,0,5.5003,5.4943,3,0.92,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,5.5309,0,0,5.5323,4.6947,3,0.92,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,5.1542,4.0655,0,5.1483,9.3572,0,0,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,4.9302,0,0,4.9327,4.6671,0,0,,,,,,,,"11/03/2022, 23:07:51"
Autonomous Republic of Crimea and the city of Sevastopol,,,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
including,overdraft,,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
,excluding overdraft,,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
,including by original maturity,up to 1 year,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
including by currencies,in national currency,total,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
,,overdraft,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
,,excluding overdraft,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
,,up to 1 year,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
,,over 1 year and up to 5 years,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
,,over 5 years,–,–,–,–,–,–,–,,,,,,,,"11/03/2022, 23:07:51"
