Domestic Government Bonds & Bills Placement in 2022,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,retrieved
January,6838.31752104,12.06,6838.31752104,12.06,3498.21754491,11.4,3214.22031786,12.73,116.79165978,13.09,9.08799849,13.25,-,-,143.43568018,3.56,143.43568018,3.56,143.43568018,3.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,"01/05/2023, 16:39:10"
February,5155.61742364,11.62,5155.61742364,11.62,4986.96412672,11.58,162.43670185,12.7,3.85144116,13.09,2.36515391,13.25,-,-,16.83617193,3.85,16.83617193,3.85,4.58546745,3.7,12.25070448,3.9,-,-,7.1577191,1.75,7.1577191,1.75,7.1577191,1.75,-,-,-,-,,"01/05/2023, 16:39:10"
March,49298.63168648,10.96,29298.63168648,10.93,26642.15081673,10.92,2656.48086975,11,-,-,-,-,-,-,11.9056938,3.7,11.9056938,3.7,-,-,11.9056938,3.7,-,-,-,-,-,-,-,-,-,-,-,-,,"01/05/2023, 16:39:10"
April,70277.26351054,10.92,20277.26351054,10.74,4353.82072145,9.78,15923.44278909,11,-,-,-,-,-,-,81.86411652,3.7,81.86411652,3.7,-,-,81.86411652,3.7,-,-,176.45771424,2.5,176.45771424,2.5,176.45771424,2.5,-,-,-,-,,"01/05/2023, 16:39:10"
May,77213.13760558,10.75,27213.13760558,10.3,18971.52372918,9.9,8241.6138764,11.25,-,-,-,-,-,-,105.20457025,3.7,105.20457025,3.7,54.88,3.7,50.32457025,3.7,-,-,52.32851814,2.5,52.32851814,2.5,52.32851814,2.5,-,-,-,-,,"01/05/2023, 16:39:10"
June,113770.00536103,22.57,8770.00536103,9.7,8526.97540317,9.65,243.02995786,11.5,-,-,-,-,-,-,297.14767379,3.6,297.14767379,3.6,297.14767379,3.6,-,-,-,-,54.587,2.5,54.587,2.5,54.587,2.5,-,-,-,-,,"01/05/2023, 16:39:10"
July,36497.66362786,23.06,6497.66362786,14.48,2813.31619782,12.5,3684.34743004,16,-,-,-,-,-,-,412.60231254,3.86,412.60231254,3.86,362.59231254,3.84,50.01,4,-,-,100.10500864,2.5,100.10500864,2.5,-,-,100.10500864,2.5,,,,"01/05/2023, 16:39:10"
August,37205.48568804,22.84,7205.48568804,13.83,3936.62815754,12.02,3268.8575305,16,-,-,-,-,-,-,48.4139936,4.17,48.4139936,4.17,18.2993936,4.44,30.1146,4,-,-,51.03079044,2.5,51.03079044,2.5,0.85626699,2.5,50.17452345,2.5,-,-,,"01/05/2023, 16:39:10"
September,30899.19516709,24.69,899.19516709,14.18,396.5364578,12.01,502.65870929,15.89,-,-,-,-,-,-,17.17982172,4.14,17.17982172,4.14,12.3952128,4,4.78460892,4.5,-,-,33.92178087,2.5,33.92178087,2.5,3.79248087,2.5,30.1293,2.5,-,-,,"01/05/2023, 16:39:10"
October,31884.04481615,23.03,6884.04481615,15.89,3942.71593772,13.97,2941.32887843,18.48,-,-,-,-,-,-,424.84604568,4.26,424.84604568,4.26,424.84604568,4.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,"01/05/2023, 16:39:10"
November,51712.74272807,20.72,21712.74272807,14.81,17163.42901,13.68,4549.31371807,19.05,-,-,-,-,-,-,46.7123541,4.25,46.7123541,4.25,46.7123541,4.25,-,-,-,-,454.15867843,2.92,454.15867843,2.92,381.93896163,3,72.2197168,2.5,-,-,,"01/05/2023, 16:39:10"
December,83632.40527856,20.84,23632.40527856,17.26,10433.20342818,14.79,13199.20185038,19.2,-,-,-,-,-,-,483.14310672,4.26,483.14310672,4.26,483.14310672,4.26,-,-,-,-,54.72686444,3,54.72686444,3,54.72686444,3,-,-,-,-,,"01/05/2023, 16:39:10"
Total for the year 2022,594384.51041408,18.26,164384.51041408,12.72,105665.48153122,11.66,58586.93262952,14.62,120.64310094,13.09,11.4531524,13.25,-,-,2089.29154083,3.98,2089.29154083,3.98,1848.03724686,4,241.25429397,3.83,-,-,984.4740743,2.72,984.4740743,2.72,731.84552541,2.79,252.62854889,2.5,-,-,,"01/05/2023, 16:39:10"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/05/2023, 16:39:10"
1 by selling bonds & t-bills via auction system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/05/2023, 16:39:10"
