до змісту,Unnamed: 1,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.20,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.30,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.40,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.60,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.70,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.80,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.90,0.91,0.92,0.93,0.94,0.95,0.96,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,retrieved
ЗА ФУНКЦІОНАЛЬНОЮ КЛАСИФІКАЦІЄЮ ВИДАТКІВ,Загальнодержавні функції,100,2356.46811825,5530.129583259999,10061.740889609999,13351.642833349999,17156.28277553,22205.95190806,25363.44853597,30086.6630793,34707.85943598,38664.254922019994,43245.840011579996,49874.74823097,2381.8008522399996,6742.453418579999,11248.57159235,14790.27470459,19010.29289348,24099.01616358,27673.42984001,32693.02176513,37251.87580443,42496.32469193,47967.36327578,54590.20643157,3905.8578966100004,8251.440958579999,13029.614454519999,17553.12376163,22944.188987119996,28315.367739459994,33556.11069138999,38461.662962589995,43357.965802349994,48950.831101129996,55051.75646450999,61702.22556774999,4708.67191504,9202.192214229999,14314.218156289999,20411.582254499997,27566.58415013,34604.600565349996,41036.75025706,46579.14938838,51628.92089468,59723.88914406,67874.69421798,76845.86904599999,7685.7601481599995,15743.0963806,23347.397913,33870.412011709996,44636.580751359994,55186.45213564999,65478.85829740999,74409.93540398,81619.9679927,90726.04267051,105262.48576123,117642.3958387,6020.55290922,14029.899307579999,34158.61662907,42857.67926526,51951.461734059994,61625.146838049994,70073.0224639,80521.06840292999,100697.05064917999,110289.25277689999,122489.88155378998,134256.93422579998,8146.450728400001,17959.179582390003,41091.34721907,51325.18051269,63507.40742796,74163.15650629,84664.39482865001,98276.83650874,124623.80317326,141708.90149049,153046.3848509,166295.10122307,9257.32833823,19733.28687169,44105.91816019,55101.254294729995,76548.65698752,88415.47868427998,99996.57336377999,113082.31407142,137819.98774821998,149671.78089157998,174654.84155113998,191549.99998136997,10417.341695,21752.23674585,47791.26327364,62086.75220306999,84615.37039078,96544.18178931999,108954.84288529998,124094.76252676999,149610.61496610998,163017.37006449,185367.61745322,203109.2369929,9622.37681741,23157.00604886,49607.973338619995,64447.53488698,83210.32092608999,97544.15085604001,111671.59766983999,126906.63708859001,155220.76498638,169166.0774542,190292.30464332,204819.55600954,10298.00629995,25619.92908269,56560.28388565,72122.07467421,99096.02390185,116508.98243003,129004.52551324,145914.84260901,176937.29562673002,191122.43350322,226088.82022593,252605.93144649,12394.511247139999,37881.68682684,59276.88403904,73655.27254217,107514.73415749,126950.20141707001,136680.33999314,156455.49842579997,168030.19832895,182901.50461046,227541.94255339002,,"01/05/2023, 16:39:05"
,Оборона,200,726.89740108,1588.03641762,2623.39002119,3498.44848406,4322.73238235,5365.47429758,6562.69934114,7768.68530361,8868.00786966,10133.36631274,11286.50200104,13242.1548711,681.51995128,1621.79540551,2725.9915522499996,3838.35162761,5030.44087788,6140.74168598,7417.17408042,8803.09564327,10007.234052400001,11211.926233680002,12460.454324250002,14486.944448820002,799.6036235299999,1803.17665197,2887.53904771,4020.56102012,5033.04708475,6083.76456236,7338.67608508,8449.347171720001,9752.15112711,10933.521963730002,12274.640443700002,14844.361566080002,859.50736395,1847.3634863900002,3049.23347398,4392.92886009,5890.53165195,7696.55717135,9654.146708870001,11582.388105860002,14750.322750860003,17542.173537070004,20841.306730160002,27365.46399792,1571.6099097499998,4071.2859341599997,7771.495900239999,11691.34829633,16453.558319,20430.34698046,24446.60986339,28286.42043388,32637.51400526,37075.28714453,41945.344990879996,52015.77072051,2884.15338015,6815.95830262,12031.22649267,17221.831145930002,21221.277211890003,26073.687516230002,30248.33667982,35449.1362359,40068.12987474,44773.684400059996,49606.35889043,59359.14446882,2888.65433023,6345.038957340001,11531.44874517,16357.57384687,21943.844623470002,27578.705960150004,33217.80162084,38828.4229557,45309.88265814,51431.56246702,59702.37500879,74360.39066563,3355.9238505999997,7906.27224912,13266.48938992,21298.048022839997,29245.72894428,37483.59970648,44512.57625312999,51478.039792699994,58351.72672851999,66530.29805936999,74827.20523027,97024.05740319999,4206.36464252,10436.587087040001,19001.9083971,27226.58066046,35963.3522184,44604.85277969001,53537.058246529996,62666.28769829001,70809.82490575,79334.37512979,88029.8045684,106627.81806327001,5339.302768310002,12355.13221528,19664.14074806,28606.8192866,38506.503828709996,47324.69292244001,57194.342189949995,66562.81848288001,77186.83972203001,86287.28416316,98097.22028385001,120374.14319452,5400.46812277,12513.22387092,20857.293538060003,32937.44508924,45639.74572213,54375.75043551,62761.34814438,70880.62519461999,79779.44535842,92299.06448623,104573.53972714,127527.2542934,5831.478980270001,12946.91303695,75716.50897461,137880.50304749,235305.2930298,334118.01714039,416912.77072593,532745.9107789099,700622.1721371999,814349.2835902099,959985.71638978,,"01/05/2023, 16:39:05"
,"Громадський порядок, безпека та судова влада",300,1803.9927925100003,3919.2927605800005,6371.35543749,8738.29190083,11159.24673069,13919.98608111,16559.245723710002,19253.364086240003,21893.04563249,24845.25851168,27973.63715053,32637.74281187,2008.9954335300001,4418.80552617,7210.066863120001,9781.75245028,12735.550438350001,15716.379431820002,18753.977332790004,21743.503094710006,24691.340922460004,27778.663693640003,31116.06313624,36681.17081609,2347.1739539100004,5116.03356283,8104.34592422,11047.05823877,14253.265625389999,17182.543783229998,20789.979480179998,23911.59836116,27155.405554179997,30083.32126921,33739.85049389,39409.2494842,2358.62095123,4830.19798283,7795.531909769999,10870.59310961,13987.28436265,17365.64991839,20611.15401048,24403.450142640002,28273.240339720003,32445.744162320003,37078.81934282,44864.567287570004,2430.11176897,5546.02794209,9194.693294839999,12746.84433385,16413.85359927,20859.950696390002,25162.33701535,29864.93124667,35165.70784027,40127.22148395,45282.50036874,54962.97465615001,2884.4109851099997,6489.59756206,11898.05558371,16477.77165705,21621.301018650003,27785.85179601,32964.62931976,38844.09915321,45247.49355983,51008.23850795,58518.5855351,72056.63734249,3910.92324457,9066.927350310001,15339.35884813,21179.46135912,27364.04167317,34918.68219798,42076.70392705,49324.62605302,57148.42088412,64589.59808781,73205.71920037,88485.28665367,5553.438822939999,12801.607079479998,21426.08400136,29453.81860957,38424.275031080004,48104.641943380004,57915.433286310006,67271.25673159001,76983.84975368001,86320.98871123,96511.56172642001,118025.531235,7437.614172940001,16548.1506174,27468.6467086,37884.997173519994,48867.117933609996,60747.67406093,72099.21122778,85287.22924069001,96822.01850254,107681.44848429,120705.022826,143694.37196696,9081.95017421,19518.38964722,31796.525122310002,42777.39316036,54586.53317749999,67211.65521003,81255.9509925,93212.18593145,106464.87544413,119503.24195694999,133748.80621994002,159509.57179881,9286.40658184,19747.42453423,32505.26117707,45317.79954737,57634.1068813,71456.69284621,86535.41783328,100404.59299486999,115475.83640116,129001.93988629,145505.82099123998,176149.30225699,10458.73712874,22488.407318470003,51766.40635678,80271.01072475,118015.13511373,162195.3760667,195883.46732151002,233464.29298117,281039.44182302,320063.24141112,368092.30309123,,"01/05/2023, 16:39:05"
,Економічна діяльність,400,1987.7407892699998,3887.65290856,7435.50509472,11184.719780939999,14712.336041029997,19448.255399969996,24315.269995539995,30284.930939139995,34784.40125736,40922.28629521,47936.39078733,57124.08856839,2177.56167418,5299.214093209999,10303.408097509999,14802.68010438,20115.7265718,24488.72346592,30119.77907245,35241.89378408,39974.15203445,45029.03053365,53075.20680678001,62377.43436955001,2061.3824024900005,5543.44598767,9461.64124079,13996.20593184,18526.68416811,21227.27431499,26091.74885813,31035.34614604,35153.51161439,39006.51972537,42879.515598850005,50757.829192560006,2475.501736750001,5144.941078490001,8639.218118730001,11335.60914025,15245.42160578,17773.28592911,20310.45243631,26889.81115609,30525.35406374,34047.8755612,40210.126457570004,43637.572596490005,1224.8165101499999,5230.886515849999,8473.355562689998,11696.747142949998,15035.687213729998,17551.761158799996,21955.508425509997,27516.934951149997,32031.343931829997,36908.923949489996,43052.858431969995,56257.34336849999,1496.79726563,3310.89525993,6200.19646417,9478.54082241,13436.052438039998,17125.66546989,22131.936299189998,28434.611672259998,35693.958910179994,41279.50953415,49478.671012909996,66191.26592371,1762.86195862,4544.12670085,8814.89626533,13353.06586803,19400.10152621,27650.138220250003,35951.66164931,45474.8130469,55484.75244837,65200.40128038,77193.98314241,102883.35056292999,2315.40188067,6116.8367469,11910.77632216,18405.9640324,28716.44656632,38685.62936711,51401.62359657,65350.69871658001,78222.19436458,91312.74429084,107264.93214723,140761.40621119,2331.64092879,7186.366278189998,14364.44664228,24694.4842576,35952.55998723,47252.60534136,60652.68902233,73660.04779236,87727.87795727,101927.11025501999,116817.75869994999,154217.95609809,2191.0150848100006,9976.9098225,20371.243386680002,31418.48232521,47542.42122891,62350.97116606001,83549.42573364,103523.14850916,127911.4378923,155988.88688503,175036.70555963,262916.63883356,2827.75884257,8124.25338771,18117.38112477,37452.34865375,52248.29489043,73394.06840715,97681.3138948,117467.97685318,147228.21854646,169778.39924269,203729.86945209,293350.14978984004,3090.3201891199997,9578.36166782,20497.6976402,30915.87524439,30915.73511722,43241.02382402,49557.39417494999,58327.299556449994,69721.53050663,82394.29794619,102899.33246374001,,"01/05/2023, 16:39:05"
,Охорона навколишнього природного середовища,500,58.60109515,209.89771163,457.0959746,633.94282943,857.4513190499999,1118.8640446999998,1476.24480439,1803.45348667,2119.40346026,2520.84281738,3174.8426952699997,3890.6983621199997,90.93134602,402.35899573999995,733.2009567299999,1045.7438783799998,1450.86965066,1698.19192104,2460.2427154,2801.3909285,3099.40811824,3455.4338712,4088.93639588,5297.92931935,91.04846923999999,965.7522563,1324.38760177,2003.67768536,2419.51971598,2642.21176732,3235.24625749,3450.27304082,3791.21323654,4039.46144155,4311.50620722,5594.185464820001,79.42405594,324.78616046,428.74533489000004,674.08589683,1014.80986237,1192.90739354,1393.2862077999998,1774.8647835799998,1989.1481203099997,2393.05359031,2844.63429919,3481.74955641,77.51391089,319.19726773,583.9989613,1060.25162689,1405.47776996,1664.05152262,2081.41232449,2436.01485794,2877.7814900800004,3558.9204091700003,4187.40080658,5529.6955940200005,96.91374643,452.85277102999993,787.4192643599999,1167.0911394999998,1559.81676757,1869.6152104799999,2246.87249623,2586.5608709599996,3040.2849370899994,3446.3902160399994,4089.0237571199996,6255.41687945,142.4616533,508.30789789000005,1081.2292634,1609.43144984,2160.30118646,2686.69805332,3072.7416140299997,3478.8350482999995,3877.6950090499995,4457.9001205899995,5256.814617139999,7349.26157043,166.79525399,373.99860008999997,767.53467623,1207.20268842,1740.86326219,2231.6490841,2714.34198829,3325.2522285699997,4114.973445559999,4771.237812239999,5671.048179559999,8242.06698793,179.5857531,426.44254533000003,1008.81180771,1523.0999161099999,2082.88377403,2652.44589543,3368.2137116900003,4028.7124758,4640.07735508,5569.8707,6905.7414606,9731.12128035,222.97916795999998,522.1407488699999,932.4698552899999,1374.26526775,1850.10290687,2461.85847183,3133.1960909299996,3541.5284456399995,4343.31395078,4876.12444302,5849.494229569999,9056.63213806,219.50528413,507.08475986,946.73400089,1385.92111325,1886.53915757,2487.17422329,3103.8319061300003,3809.26424851,4557.55564523,5698.16520445,6842.95258238,10620.609325899999,249.62490321,560.08331902,842.4720134099999,1216.84528884,1552.11162279,1971.29406496,2357.63681501,2716.59545684,3090.54613371,3575.6765223400002,4162.96320533,,"01/05/2023, 16:39:05"
,Житлово-комунальне господарство,600,159.38089508,499.64258912,865.88949901,1259.9676254199999,1782.8317674599998,2454.15641186,4350.30422904,5757.4438408099995,6211.41172113,6825.59849938,7483.960371130001,8679.349177760001,255.9624417,708.79502151,1080.33434158,1439.12613595,1944.3806143699999,2328.82067955,3794.8359486,5527.28365587,6853.63397327,9059.02434841,10881.16656265,20059.57093153,214.74981373999998,725.6520247799999,1178.4784186699999,1702.0415825599998,2344.9033944099997,2649.61222423,3346.47526328,3734.86178226,4471.29669111,4981.7824343600005,5364.92309991,7704.695038870001,163.07896113000004,2064.21201329,2436.73586977,3807.98956589,4806.5077976699995,5870.66850041,7013.83860734,7745.07807987,8473.03446194,13499.55662648,14764.94478734,17808.51409847,141.24478847999998,639.87011498,1276.35595892,1906.15992557,2579.63739356,3431.62971607,4479.01999202,5854.83471267,7219.33692739,8554.34531816,9643.12100097,15700.429671950002,223.81136326999996,774.14917571,1540.85551562,2505.86731191,3574.16275732,4710.20618819,6158.8534573199995,7760.1894934599995,9309.261744059999,11064.354649989999,13466.009506439997,17547.524486019996,445.90895915000004,1362.92594291,2547.68440951,3981.81231773,5790.644520469999,7628.3228684999995,9686.00031214,11625.19395611,13699.26163599,15834.88315657,20205.98589986,27187.46795439,534.1201208000001,1731.5494757400002,3285.8329900100002,5078.41119942,7383.89871886,9703.478495980002,12453.03050312,15213.01606714,18142.68018976,21546.590163110002,24850.75065297,30345.478374200007,793.6720587599999,2388.73263646,4273.55160448,6735.223441779999,9466.698683429999,12066.023717959999,15145.622313199998,18165.265910829996,21079.301106699997,24560.502833489998,28107.710894869993,34489.978990589996,976.8527234100001,2877.73741576,5317.58342302,7615.903186779999,9888.84692207,12136.413663540001,15033.82497107,17641.03256186,20521.145646549998,23967.92037965,27009.815913849998,32214.49160266,721.50818024,2382.9774177,4208.78472123,6305.47250221,8472.19524524,11102.06844632,13774.68133767,16711.5116493,19703.333214770002,23126.21580908,26869.63754059,56894.52945308,1172.18580379,4203.98882512,8135.71183251,10076.14548016,12114.16697204,14720.33437581,17136.26676245,19952.73354164,23371.29063077,27157.88063363,31625.72345823,,"01/05/2023, 16:39:05"
,Охорона здоров'я,700,2365.92036087,5935.40363719,9901.022620529999,13506.394336899999,16860.220181869998,20782.433437679996,24422.494837229995,28289.203387989997,31986.641074209998,36212.58048833,40980.18488104,48961.62199979,2752.9206453499996,7115.672396969998,11884.34378172,16165.258751829999,20566.61089523,24911.882154109997,29791.691021399994,34884.56118406999,40019.84562551999,45190.94729167999,50378.58703283999,58453.93065553999,2871.3372165700002,7634.390640070001,12576.16722395,18006.974652,22533.35556142,26979.25784903,32693.04361704,37642.95227522,42572.473089449995,47007.30280193999,52278.88435346999,61568.77090060999,3148.7489267800006,7271.36649353,12164.3563102,16932.45038954,21239.21118369,25616.52076069,30100.06138944,34373.63651242,39216.07003873,44007.90041529,48539.435772950004,57150.071128660005,2312.67162898,6685.00294681,15059.583001269999,20163.8813916,24768.00266935,30031.15705654,35162.41088233,39842.25381689,45098.97768585,50856.844761839995,58523.20446642999,71001.12112191,2833.6911289299996,7338.459877069999,13186.938612199998,18400.297211799996,23233.811581759997,29022.998541229997,35053.401276929995,40681.05534848,46650.06321482999,52447.83398963999,61520.79123455999,75503.43471567999,3717.67000329,10365.51416598,18079.18454121,24940.171518630003,31819.0380207,39972.24886076,47647.833269350005,56469.75292158,65975.90102823,75010.57322979,84629.3357878,102392.42937626,4884.9043425499995,12203.184881879999,20641.85644528,29163.249750049996,38153.16791724999,47929.696348569996,57123.6297194,65812.83329947,75709.64150072,85246.45332362999,95319.86366115,115851.95785497999,6248.72011742,14898.55836569,25011.71291168,34201.23559568,43434.83702515,54924.50087643,65335.38684993,75609.77003133,85424.35849517,95482.79851716998,106594.65860066,128384.56886962001,6736.49546665,15863.94726633,27888.279379930005,38109.5862413,49885.44160341,61338.37914502001,73100.42758496001,84803.32353898001,97803.60089634001,113729.94415245,129883.5996742,175789.66254368,7788.40180444,24702.48244856,39729.695771989995,51593.1141222,72051.87003314,88169.48284379,100371.98228643,112201.11869872,127977.02169295,143059.06129533,162840.96046215,203610.41901783,4423.84896187,26975.36324069,45891.98686111,62355.84243666,78298.13828369,95878.48297938,109548.40896802,124872.10665516001,144495.73251242,160710.95596559,176690.69230193,,"01/05/2023, 16:39:05"
,Духовний та фізичний розвиток,800,482.91169897000003,1144.7021033100002,1971.1581504300002,2904.6496786700004,3647.44141182,4520.86876878,5349.2087835600005,6111.89884245,6900.46454899,8276.82483542,9308.20271137,10754.863074510002,598.6712305799999,1441.08429905,2431.00115639,3742.1214492,4898.11550573,5889.85669088,7074.49418062,8080.71067259,9210.76544788,10667.59747368,11870.83398005,13639.627545129999,648.87927221,1645.79546614,2661.58882575,4206.45348372,5358.60441955,6257.72162572,7487.52878677,8431.798659029999,9379.701845059999,10493.437922009998,11584.502810299999,13661.184070439998,632.5264323199999,1435.9650726999998,2313.5713802299997,3807.51990304,5857.061451969999,7079.998719599999,7936.743306189999,8959.21939226,9792.1636206,11338.99700703,12291.290209350002,13857.672813170002,552.73923255,1418.3788944799999,2519.55968707,4625.25499309,6144.639547270001,7221.184050340001,8297.578885160001,9194.95249191,10270.13168331,11566.29218555,13946.0495866,16228.34018265,633.07121982,1573.92729212,2913.95555587,4093.6475895599997,5268.413739879999,6544.979520729999,7855.54308478,9615.77602094,11027.67937077,12310.74320585,13894.76854198,16897.84853027,917.7090400500001,2412.70853446,4264.22170342,6106.0764125999995,7865.670904709999,9916.5251901,11879.603739529999,13778.341224459999,15690.074969959998,17621.969183679998,19842.556427329997,24342.307903319997,1215.3631789199999,2995.2125988099997,5087.722915869999,7174.115682439999,9334.485433399997,11689.795285879998,13764.171473419998,15876.788724959999,18092.43500196,20474.428831929996,23147.708617919998,28993.072686599997,1430.75289069,3473.3956937800003,5784.0966642799995,8027.507042,10493.028458820001,13052.508274440002,15672.654723399999,17961.42009865,20447.41817344,23289.920280469996,26151.59243711,31550.140252740002,1614.3671467000001,3767.52205316,6320.948988529999,8307.93506836,10367.013041729999,12899.249130609998,15306.81920302,17665.41401398,20555.79388023,23421.63449454,26081.08848791,31710.87248324,1655.0938293299998,4230.916018110001,7400.428526090001,10394.808207790002,13254.88319266,16753.18388576,20299.900998669997,23602.60085059,27908.9569332,31283.62169546,35070.070441050004,43358.356081879996,2257.04839293,5039.39396904,7680.38872059,9988.60740843,12099.50049973,14978.8918913,17870.38117053,20084.24105515,22833.77423751,25467.05671275,28472.76567678,,"01/05/2023, 16:39:05"
,Освіта,900,5001.813384200001,12225.51018798,19914.450109549998,26802.27401246,33377.87430046,43999.460044679996,49356.55451971,53842.71337533,60352.79330241,67868.72212661999,75930.06850621999,86253.55478991999,6267.883518930001,14989.06478074,24193.479482270002,32568.049857140002,41060.29501554,52888.05048053,59312.16398297,64864.91806197,72680.44780223,81237.08359975,89523.53985217,101560.94715246,6758.49834555,16057.674725960002,25387.780564710003,35276.21847941,43568.65725114,55903.096329759996,62744.204060059994,67866.00666031,75951.47571174,83643.72810802,92755.06507378,105538.70162811001,6427.55964874,14451.515658879998,23725.98548566,32083.15478726,40351.226790479996,52431.474765299994,58678.23486370999,63955.89799676999,71766.48588015,79941.9272694,88058.81061756,100109.53396686999,5181.565556120001,13604.86485559,22920.69902353,32362.30266018,40960.714408960004,54547.49800102001,61691.50446940001,67211.06190299001,75907.04928402002,86552.52609653001,97517.77996798001,114193.49216261001,6110.341845329999,14118.38494571,25620.642780579998,35142.074812549996,45001.02039537,60249.77394924,68505.21924476,75498.34101829,87508.25778936999,97569.23376475999,109155.16531992,129437.70584165999,9067.0023048,21856.50335929,38219.71241416,51234.32838669,65054.44759912,87334.73587193,96953.63322692999,105986.42744107998,120906.77896300999,135502.79285024,151669.09775252998,177915.76252117,11013.18718823,26961.447547019998,44489.71064416999,60728.92192761999,77842.86028672999,104708.60268420998,116612.28337214999,128037.69645918997,144876.46149108,162661.37340722,181194.6012553,210032.32186762997,13502.073728169997,31724.821505579996,51544.74519942999,69852.60375991999,89748.06906949,120059.55472464999,133517.04801201998,145938.75974577997,165507.30111418996,185884.21040415997,206731.02309516998,238758.70580082,14840.5788111,34456.23264663001,54906.19122558,72675.12495145,91393.08996734,122418.43773189999,135695.30650977002,148841.03676793,170885.65093275,193229.56362457998,215456.10366601998,252283.73763869,15216.185093850001,39889.35328675,65451.97068324,89983.8178096,114903.68844138,155846.30688118,172489.16093851998,187915.08099232998,214181.59446355,239389.86185662,266709.93991682003,312914.55056486,19935.22379649,45922.15791844,69908.99035108,91100.59004253999,112262.96938991001,141673.11150701,162235.11820326,177501.19728199,199911.09140622,223282.71937608998,247080.88365057,,"01/05/2023, 16:39:05"
,Соціальний захист та соціальне забезпечення,1000,7497.303915380001,16166.834477820004,24903.331065500002,34968.96952237,45356.703361039996,53779.205476129995,62426.98868462999,71088.1589771,79219.79670114,87491.02448532,95526.09271949,105434.76056334,8476.08778147,17954.14752878,27189.260913629994,37459.38597008999,47508.98669449999,58762.068387609994,70406.87272351999,81237.7626256,91970.63889861999,102641.89819399,113439.01538679,125306.89985152,11074.958150980001,23319.54956741,35491.27492304,48233.44532883,60076.48338588,71894.95920756999,84029.12754284,95762.48970425999,107461.85093329,119228.22607292,131640.1068673,145062.60670796,11752.655807470002,24113.348783320005,36774.72942707001,50401.79944476001,62614.83560851001,74609.82497395002,85744.93569591001,96554.02519675001,107653.88108376,118565.01259211,125827.90430385,138004.6833457,10128.916050070002,22151.776213930003,34881.17272897001,48636.33034484001,61267.11105881001,74310.55504067,86529.82593502001,98161.02201789,110362.18042726,126038.77093301,142151.64745267,176339.83711856,5898.28446993,26783.08754319,51658.64640894999,76362.85097974999,96909.72240428999,115418.84868901999,135412.95765814,156141.12810258998,177441.02496595998,196987.89516758,219582.01662202,258326.13773426999,15745.245951029998,49814.81279315999,75563.98083264,95074.48469507,114124.92363521,132003.06014529,148697.56311355,175044.38903236,196941.6536668,221568.68783223,246579.09668603,285761.72672552,12088.51799919,41146.63220534001,86965.30396961,120784.10974349,146954.52843839,168001.42783826002,187332.21835591,208776.97463260998,229280.32833237,248993.20478780998,268937.95860497997,309363.63007929997,27111.21217487,54051.8245186,88061.94711938,121910.21396654,147521.10887445998,170405.37369073,192907.9885356,215300.5791344,237409.65980616002,259476.70488468002,284071.27929709,321786.73937884,25274.05235013,51126.525208540006,81882.70236715999,120021.03997894,146431.97757254002,170149.70751239,200392.72410664,225823.88535947003,251310.55586409004,278111.85097174,304260.26221714,346720.54722265,27514.525006080003,59635.36314485,90508.63049371,123460.4281153,152506.07854951,179726.83593298,205556.74971773,233504.53847705,260302.77452854998,287348.24206175,315995.18049521005,367346.63656173,23894.75443359,55596.38694519,107619.82926207001,144414.31424698,175936.12848915,221985.25033567002,257738.99299257,294579.11848271004,331320.93231940997,368883.76257396996,408614.69900728995,,"01/05/2023, 16:39:05"
