до змісту,Unnamed: 1,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.20,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.30,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.40,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.60,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.70,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.80,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.90,0.91,0.92,0.93,0.94,0.95,0.96,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,retrieved
ЗА КЛАСИФІКАЦІЄЮ ФІНАНСУВАННЯ БЮДЖЕТУ ЗА ТИПОМ КРЕДИТОРА,Фінансування (дефіцит «+» / профіцит «-») **,,-909.3817245900062,-5024.826149460001,712.3478903599948,2916.206829649994,-146.18075957000445,11711.483424799993,8145.235201469995,2104.5934227900048,3097.3313581899947,8040.252755030003,7534.722219529999,23057.888697740007,-2068.7014009900004,-4758.632654710002,711.8372318500005,6384.172291689993,4803.094513069994,9742.665983119989,18868.238632639997,14832.94157552998,21262.400411739996,29184.21646096,33914.659700710006,50785.690728730006,615.3835683500004,1282.516753119996,5682.777413160007,18882.54781147,21711.698467240003,28039.03466432001,34227.53569974999,34625.61442338,33826.3668628,37093.9632516,40835.88540739,63590.29826771,55.165817479999305,2408.125667209994,-496.94577882999323,2857.583978739989,7970.36982127,20776.51629456001,28020.583077609994,28634.326373490007,32894.16471232,46158.29698550998,53126.976877329995,72030.4590132,2555.374329499998,271.97012190999175,-13969.68164323999,-18493.378018620002,-19393.54173697,-12270.570049350006,-15391.942670839997,-28308.955173909973,-32508.880271549988,-26791.81034226999,-19969.485169289994,30898.246262079956,-9023.147686849989,-9870.175594040007,-3869.163254090003,5076.5959918300205,3778.468104020007,11279.468209470011,22883.491045,11288.089841430019,31692.781075589995,26865.957979290004,9987.80742689,54813.90587064,-25017.554660859998,-17980.16792384,-4005.319693709999,-38590.32785381,-50478.72896567999,-52141.73318822,-52820.267998539995,-68645.7428997,-41632.48541884999,-31232.206195530038,-33916.81972460003,42125.72630664005,-20514.523982759983,-15268.289322020006,2989.9365640200062,-33.20247812997818,-14584.080478099975,-10465.961939440296,-7517.336727709988,-34356.360185440986,-14539.311987229998,-14425.220997339522,-22001.49070015995,67791.79305399003,399.36724416000476,-4718.167781519987,8959.577224049986,-17623.432440509983,-33860.358425209975,-21059.939779549997,-22733.75655262999,-35367.43477403995,-8758.075792990003,643.0869598096066,6882.015699669981,87264.19130159997,3072.8638296399995,2547.7066283800127,17370.93383717,10659.782674199996,31977.62354132,3398.961005949997,32067.118704290002,15116.31981153,59019.684398720005,89437.30247239,94695.97022747,224458.84660276998,-6748.22900269,3287.5415244299998,6314.80295885,8075.73062188,4904.39668178,14539.16438683,18401.85375913,-34535.947002529996,-2520.1530896599998,5875.58121663,12246.25716639,186908.27588576998,-30674.569032810003,-48370.7055347,31311.48532756,115673.61520002999,214962.50258610997,349031.42202309996,344289.81712196005,337099.39148598997,407420.41798687,546517.69378265,712131.68170448,,"01/05/2023, 16:39:07"
,Внутрішнє фінансування,200000,-1738.2605029300062,-17430.50756663,-6202.254545460005,-3501.1759635700064,-6549.485949740005,-5317.779968450007,-9621.841009300002,-15714.170939219997,-14992.071112010006,-10005.549805949997,-11005.464998740003,8556.263435130006,-1989.1522349200004,-4596.314275660002,1568.8643851500005,7203.380986679993,5814.7287522699935,22595.11811291999,14687.850087299996,12359.666348499983,13890.261755290001,21959.501413449998,23683.960473960004,40081.46096457,429.1732100800004,-2340.1685353900043,2602.5192398500085,6226.222828370001,13779.867361680004,28035.73957499001,34100.147959849994,34672.99365760999,32551.321209349997,36025.55278742,42400.23497065,49691.76103966,342.3617980099993,2855.930979939994,838.1955186700068,4403.52103325999,-33669.14517951,-17336.14770354,-8464.348007510012,-1043.1896012099944,-17326.53572182,-4747.974936420017,-738.4375442100144,29855.52057698999,3262.430610579998,1677.3494395599919,-66666.07150122999,-78442.79208328,-97277.86203857999,-91575.04300446,-106197.30256738998,-126610.91713901998,-141911.47987945998,-138032.13575386,-130942.76582466,-78752.86741268,-8004.049033809989,-9035.174952910005,-11294.903755890004,-2733.9380817299807,-3125.7448268999938,3736.266922230011,15847.095098909997,4664.887970070019,-436.738746170002,-4949.665939599999,-21407.915315399987,21551.82971446,-24238.795399159997,-16912.91850638,-2797.2483526099986,-53473.894273519996,-64193.556912559994,-66293.61432417,-65988.11047595,-75463.55513629998,-85706.59965715998,-75156.20099350002,-72943.63900339004,5142.599550070026,-19200.622834729984,-6795.895057790007,11362.078731440006,11861.03071502,4547.66360745002,10566.453155269699,13485.96175242001,-22871.623483410986,-3506.931778329998,-2971.654586959526,-46487.86345538995,22958.542534690034,1436.8249030400048,-2820.444605449987,-7727.033795030014,-35014.50324011998,-18187.079704809974,-33169.89222203,-34789.49846924999,-46269.357045900004,6183.509314479996,9225.713412529602,16418.162656009972,90878.12635453999,-30384.68928261,-29466.478845549987,-10466.607723909998,-16395.865739640005,31599.00765114,-62529.16991710999,-49516.435803980006,-64510.40667715,16445.85142335,47451.272954650005,50721.71647521,128358.09441514,-5992.29899357,6384.5101472100005,19048.982151919998,-14065.58631701,-17948.05445746,-11887.97205767,-21395.68004286,-73433.38702428,-21931.692035189997,-28976.15055961,-49721.085286019996,77176.81521189,-30052.76122203,-42203.09876758,-58929.707449769994,7087.569629899999,80298.36556691,154549.70263892002,150467.24907562,85851.60437228,138799.77713238,125920.20570166,198685.08029923998,,"01/05/2023, 16:39:07"
,Фінансування за рахунок позик банківських установ,202000,-0.033333339999999996,4.3850923,-28.94470502,-29.128253450000003,-29.503345789999997,-25.157476410000005,65.74318926,64.90985592,31.013391969999997,30.180058640000002,-46.58260803,-1.233791050000012,39.33287328,7.287000159999996,40.191409539999995,35.51140953999999,35.51140953999999,1.3973109199999942,-249.65365708000002,-248.60480848000003,-282.7189071,-283.76987510000004,-284.82084310000005,-321.03475832,-221.050968,-232.101936,-272.42603462,-308.66700262,-309.71797062,-343.83206924,-344.88303724,-345.93400524000003,-380.04810386,-381.09907186000004,-382.15003986,-416.26413848000004,-81.050968,-151.781936,-224.89603462,-265.94700262,-311.99797062,-350.11206924,-351.16303724,-356.41786924,-393.18753886,-393.18753886,-393.18753886,-426.25066948,-33.12,-33.12,-66.18313062,-66.18313062,-66.18313062,-99.24626124000001,-99.24626124000001,-99.24626124000001,-132.30939186,-132.30939186,-132.30939186,-165.37252248000001,0,0,-33.06313062,-33.06313062,-33.06313062,-66.12626124,-66.12626124,-66.12626124,-99.18939186,-99.18939186,-99.18939186,-132.25252248,0,0,-33.06313062,-33.06313062,-33.06313062,-66.12626124,-66.12626124,-302.58526124,-302.58526124,-335.64839186,-335.64839186,137.29632029999996,18.09197744,33.5935447,98.99544470000001,74.21519923,80.88477361999999,76.23702031,290.16755421,544.5791643700001,768.2431103600001,814.98458432,930.8176457399999,1316.22234756,-105.81962956999999,-115.57336765000001,-88.84021996999999,-81.64948145000002,-124.14762242000002,-93.21472296,-118.39804570000001,-40.31506267000001,254.51747783,839.11218684,1146.07623729,1792.88976123,-226.152142,-305.18701674,-369.55505588,-195.40614643,-10.88963261000001,337.46319045000007,622.07927675,881.5436027999999,1409.5232166199999,1641.49579556,1983.29308333,2727.84206863,-208.63053575,-448.89747038999997,-461.08020876999996,-706.16284065,-763.2354915,-349.99485741,-64.42951258,673.64102384,1034.2670051799998,1508.37981128,2909.5453686,4680.936910949999,-212.38852599,-570.5668581599999,-854.20107052,-858.84626228,-963.16326011,-1475.0318536,-1991.7567828699998,-2094.2580616,-3190.2103555999997,-3824.30363183,-4115.1193162399995,,"01/05/2023, 16:39:07"
,Інше внутрішнє фінансування,203000,-354.25783669,10.470617139999925,2349.221009199999,13078.74433304,13323.725941819997,23912.00392013,20117.924072650007,15874.819220140002,10622.382821179997,14181.964692250003,17988.88969114,22395.660673490005,674.4002515600001,2741.8402425699996,15743.492525610001,19159.391825600003,23705.351066749994,35506.783327729994,36306.52670795,35450.69488166998,33381.76605452,33378.31242422,40550.969300130004,35803.60020072,11080.441113189998,18383.19090132,28597.491030200003,34590.34907499,41992.52129107,49257.097944090005,55329.82755167,51974.60611609,55951.71925542,55464.73052103,60520.8611232,71939.53990746001,1308.8284171299997,12917.37843192,12568.665971350003,16591.993589879996,28588.212683470003,28487.678712170004,34558.10658192999,84287.91202686999,107051.74087745999,113832.92096377998,116729.87794438998,158502.75539059,6171.13290802,15567.269372929999,4150.46485607,-1518.0594482399943,-13118.328429919993,2842.300417720004,1456.6750064100063,1298.0697118700061,1664.743263940003,2756.2509776400034,4671.325397030003,5317.132253480004,2042.3429557299987,26036.892887109996,15955.156652419999,34106.08388409,39225.30959550999,38031.65645626999,32900.961787680004,36726.48247008,34171.802071549995,27042.574163199988,17107.326625300007,141244.99632386,225.7635725,18027.278071009998,29657.65339545,23635.792850440004,19939.923050810004,12262.077912829998,23304.05782831,29828.87543678001,31325.47427560001,35821.544668249975,46505.24307033997,78367.71527884003,-8337.234086409999,-4603.089019320003,2219.120779960003,-787.0211213999949,1517.8079695400038,3853.3064189799907,-1456.3503870900006,3080.116429770012,450.6230036399982,-3929.924290860008,-14339.893608889955,8217.435846990033,2491.679716190005,-8262.377046809986,4473.55530910999,17917.379149300014,25664.53133844002,24309.31796844,56684.12308982001,52240.90214224001,79436.89788059001,66960.53854371002,67939.68683939007,85421.62252561998,-13772.392860000002,-17736.97913621,10251.242656880004,11351.286802929997,48563.48313883,42179.9396055,35368.81359014,22337.49904466,32996.54148209,47960.68188153,58683.04238266,152699.69494789,14374.3765012,26467.48066885,35467.57039246,8006.30977267,2247.75191116,17887.672230279997,6233.2579446,-13331.78920188,20401.67353044,21370.27355727,19802.84616991,79028.43095191,2306.93413054,4918.301534810001,-6831.30109935,65989.58131959,153848.26912657998,231026.00126022001,223174.86689342998,174007.77021855,253430.65161117,266261.51756601,335376.79856303,,"01/05/2023, 16:39:07"
,Надходження від приватизації державного майна,204000,9.133485039999998,36.72378904999999,1094.40764949,5625.79547116,10944.77532677,10960.275237670001,10967.35496552,10980.390618959998,10994.188224200001,11003.80263606,11008.812847899999,11480.30558967,2427.35337223,2709.8472771399997,4086.33460785,4770.46242274,5091.6553288000005,5094.01041299,5112.58183296,5266.740633359999,5351.081581310001,5662.04528912,6682.9187752299995,6763.54489382,5.57964733,21.57698337,25.83061206,52.51997132,57.719675159999994,172.97020466,182.12980979,317.32479284,916.04479379,979.28615237,983.48218434,1479.96867513,44.929149710000004,45.690445149999995,47.66575806,48.164685979999994,50.752855659999994,52.755875880000005,53.5850735,55.88421335,58.456670609999996,59.86003161,60.8131025,466.92072692,100.44138764,102.5277073,104.087772,113.56384084999999,114.85070712999999,116.78382185,120.25675159999999,122.19232017,126.84241031,136.87699318,144.43823258,151.48868876,4.53424162,10.13727734,24.32171034,29.10177208,34.228888729999994,42.049505999999994,58.76084086,60.29992972,72.85999654000001,77.86395886,83.56391139,188.92300466999998,6.51011023,12.300237119999998,17.01244707,28.762669980000002,72.78282475,110.79825552000001,191.5608893,1522.57381617,3302.7558433599997,3357.1961582299996,3360.3741253599997,3376.75885574,16.05335639,26.22061148,34.63188346,47.80769834,49.755837,49.903660509999995,49.93819101,75.29857101,77.34549812,135.08555156,175.01959116,268.7551988,122.28359222999998,154.64546113,183.97759182,190.66044315,216.83570084000002,265.53326624,351.80035548,369.13318102000005,398.23858838999996,413.4662616,531.2480359599999,549.5159867000001,132.2760649,190.24302989999998,202.28538115,257.57687759,485.3918137599999,506.8651824,593.5782015599999,761.6959747100001,1892.5511875999998,1913.47113633,1991.02721419,2248.1777692699998,201.47639392,326.04501589,529.68709857,676.95609711,858.23323025,1048.90210366,1772.99691796,1909.99030183,2086.3493296300003,2257.0319322600003,2535.63553592,5097.86413749,286.12001625,296.49291264,296.8654117,296.9149755,296.9358755,297.59955763,303.49083772,303.54152075,303.57931458999997,762.00771775,1290.70339548,,"01/05/2023, 16:39:07"
,Фінансування за рахунок залишків коштів на рахунках бюджетних установ,205000,-1088.5971904100004,-1454.9068373100001,-1202.7141365600003,-554.7830283200002,-498.44344379999995,131.3506789599998,-2743.6297121699995,-4415.69369327,-6243.314431520001,-5276.112768100001,-4474.893532130001,0.674498890000403,-908.3248272800001,-1487.4963632600004,-308.59315915999963,-163.81666423000027,-229.89134048000074,96.6410564699998,124.74972509999942,-2629.865173119999,-4004.05242262,-5443.813500159999,-6005.895253910001,-3359.1769723100015,-2373.0180919500012,-6224.282277379999,-6478.5727079,-6118.01813598,-5410.22469443,-6777.56598644,-6320.784349890001,-10784.381096349998,-12682.63399379,-15369.84859224,-15527.998990349995,-4707.065063269999,-2201.0429373399984,-4783.7371386999985,-6375.10649709,-6652.064810250002,-5490.81324208,-5873.809001800001,-7057.5024230200015,-5451.27011166,-6696.120829799999,-7032.42932749,-6539.022565229999,-966.1285257500007,-2230.5617227600005,-3574.645306629999,-2769.8442105200006,-2663.93501855,-3786.073439249999,-4332.440857369999,-5095.751015389999,-6602.77706839,-7650.992095969997,-9800.292395440001,-9155.327566839998,-1068.4696131199994,-2492.312775840002,-4210.783527420002,-3346.199392739999,-3352.7353695600004,-3804.2977707799996,-3304.841606420001,-4444.722792630001,-7180.518936590004,-8058.40571596,-8867.1461617,-9639.456739590005,-162.86176079000012,-3358.0476082599994,-6193.515376540001,-4875.920251189999,-6229.477453670002,-8205.56118094,-7486.9953645900005,-8318.89112069,-10758.964770650002,-12283.25960852,-12887.3392625,-12117.043019770003,-57.38071732000077,-4659.539204370001,-6419.39066207,-6820.921291289999,-7164.91542265,-8808.936079449999,-7949.471512110001,-9470.65194479,-11747.121261079998,-13761.8532026,-14676.33064158,-15062.922836299998,-1424.3119193699995,-3750.3546158199997,-6137.270600219999,-7717.371361219998,-9497.435115669998,-10802.191367119998,-9643.281025570002,-10939.27377916,-13360.923083209998,-16248.278069570002,-17061.801981779998,-15915.942285879999,-668.6894957900014,-3790.9251689000007,-5993.627565509998,-9637.436740339996,-16052.563289689999,-13071.44448333,-15630.457965969998,-13909.03544405,-17861.01415761,-19659.855836709998,-20467.96851265,-23962.64690025,-6760.51478399,-3090.65552281,-5697.67703491,-5182.15439063,-5275.163119350001,-7405.86427247,-20716.54025524,-14016.79329871,-20291.056607240003,-17766.40730792,-20000.75155075,-19516.04498269,477.62054032,-4554.907389350001,-15898.50128729,-17896.536782130002,-17905.03889974,-19690.93942544,-20147.90602312,-22109.868036,-24560.41654825,-26759.54635157,-37733.303739639996,-41540.382436550004,,"01/05/2023, 16:39:07"
,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",206000,-191.99367156,-645.15723702,-907.3378014000001,-10100.65878827,-10462.900565779999,-18904.74748941,-18949.17312041,-19277.11551071,-19233.60145031,-19204.302673090002,-23144.295688830003,-21300.33792633,-1031.35290091,-1682.9590711600001,-7824.285360610001,-7948.183254200001,-8262.017751149999,-8172.53303235,-8312.81990514,-8446.08400239,-9393.786085060001,-9181.984781449999,-9054.12356566,-6965.48311775,-2000.000978,-6622.96406669,-8604.12834477,-8946.95157781,-8938.54900322,-8919.32838153,-8892.81375477,-8875.76544393,-13914.62656918,-13868.26716698,-13880.02973406,-14684.33389707,1.58267922,-11064.36732078,-11062.60732078,-11061.442320780001,-21059.78732078,-22858.593320779997,-23956.72832078,-70654.96827311,-96598.07527311001,-96597.96027311,-104097.86027311,-123314.16827311,0.06,-14300.32,-17200.32,-30804.318,-30804.244546939997,-47704.24084694,-51766.83083434,-55004.57221927,-60450.013811519995,-66662.946059,-72168.10682742,-74600.91424694,-877.74472902,-16937.89941024,-20037.91547632,-21186.685927830003,-21947.45676438,-23162.581610830002,-23668.81854549,-24508.92596602,-25372.889763209998,-25317.37712938,-25141.18140626,-129215.518,-3225.8754691,-23861.50554327,-37012.794696900004,-38359.03625194,-39460.53427074,-40498.32014471,-63538.29264096,-64476.14738617,-63418.53905497,-63165.28294548,-63014.26636398,-70702.997,-6038.99426525,-12344.224102979999,-14906.581639630002,-14930.570165770001,-15737.37310141,-14641.28575789,-13486.09929067,-14146.422885439999,-12760.9724183,-11970.62578334,-11280.750723259998,940.0727668100004,-4753.19502522,-7218.67172769,-4480.99225002,-1622.1531070300007,-2050.2636339200003,-1477.455711419999,1250.4926514400006,1300.3412758200006,1334.47235766,1543.6915277600003,1869.1089453199997,8996.64750847,-6139.32937525,-5802.841242639999,-5750.2431635699995,-5158.808038830002,-5660.307004880001,-6220.35941694,-7088.84728805,-7826.6360557299995,-14461.84963014,-13529.67998137,-13726.415783,-4838.8915547,-3426.52928117,-5759.77458852,-7109.2775293,-7489.138875479999,-9379.87035159,-10479.45494824,-11251.18244169,-13571.614236559999,-11516.70695448,-11295.32127223,-10634.58189863,-17635.575447490002,-4145.55862615,-3991.46507677,-3051.99127877,-2945.39818652,-3142.8368590500004,-3336.07573678,-3475.12967652,-3851.6198245100004,-3880.08602673,-3468.8042914400003,-3772.9230513,,"01/05/2023, 16:39:07"
,Коригування,207000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5238.90775064,5238.90775064,5238.90775064,5238.90775064,5238.90775064,5238.90775064,5238.90775064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00083624,-0.00083624,-0.00083624,-0.00083624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"01/05/2023, 16:39:07"
,Фінансування за рахунок зміни залишків коштів бюджетів,208000,-112.51195597000563,-15382.022990790003,-7506.886561170004,-11521.145697730008,-19827.139862960004,-21391.504839390007,-19080.06040415,-18941.48143026,-11162.739667530002,-10741.08175171,-12337.395708790003,-4018.805609540004,-3190.5610038,-6884.833361110001,-10168.27563808,-8649.984752770004,-14525.87996119,-9931.180962840004,-18293.534616489997,-17033.21518254,-11162.02846576,-2171.288143180001,-8205.087938730001,8160.010718409999,-6062.777512489998,-7665.5881400100025,-10665.675315119997,-13043.00950153,-13611.881936279999,-5353.6021365499955,-5853.328259710002,2387.1432941999983,2660.8658269699968,9200.750945099999,10686.070427379998,-3920.084444109994,1269.115457289998,5892.748498349994,5884.4736417500035,5742.816891049994,-35445.512185160005,-16794.067899769998,-11710.645881900004,-8924.32958742,-20749.349628120002,-14617.178792350007,-6499.0582139,-4407.608072180006,-745.5219623200016,3915.637665959994,-50884.276788159994,-43503.860326719994,-49617.88319897999,-42398.199278479995,-50812.40621442999,-66324.58362215999,-75469.75025436,-64329.715878380004,-54302.78566815,-8386.731972380008,-6680.868726299986,-13933.522179700001,-3857.2041189700026,-12296.63930988998,-16600.46564535999,-7803.8895615499905,11067.04006973,-366.323265879982,-1150.915943229988,2213.6086212800064,-3718.978314379986,9628.54266920001,-17887.146004529994,-4897.475894699996,9449.863883580001,-32516.87295771,-36507.10420582,-35853.95647262,-22799.32692131,-36516.21472183,-49569.35360203,-43185.57897078,-52581.20617412,-11217.700938130003,-199.00061252998353,16510.994570399995,30736.833554240005,34621.51452727002,27445.524208150015,29177.763325469707,37558.95762975002,-678.0735020409955,21719.682230450002,26655.155992940483,-6910.133523839993,13640.368293900005,7432.230865230001,18758.80267579,-97.3628647500019,-41921.30512842,-31091.844120629998,-46530.791996759996,-82018.24274113,-86778.49549910001,-58992.33892042,-43469.29312560041,-39152.015116070084,-5213.859931690003,-6588.165801359999,181.9130856500082,-5162.90080215,-6597.951945210002,1292.7738193700009,-83702.62051254998,-65103.02414033,-62803.49508598,14268.941840129999,29933.273471490003,25753.41731452,-17718.21319572,-13842.336548959998,-8502.66644371,-4195.76321041,-9278.387351309999,-3505.06948331,721.44366928,-4069.52965244,-28822.558304270002,-16170.867638040001,-22815.76303744,-44818.485479129995,5527.53811871,-23732.96082733,-26957.35999281,-30592.5426307,-37489.64331665,-50049.89989057,-51814.88456543,-45434.35416014,-57953.41293266,-81104.61105948,-96076.90791919001,-88553.99685518,,"01/05/2023, 16:39:07"
,Зовнішнє фінансування,300000,828.87877834,12405.68141717,6914.602435819999,6417.38279322,6403.30519017,17029.26339325,17767.076210769996,17818.764362010003,18089.402470200002,18045.80256098,18540.18721827,14501.625262610001,-79.54916607,-162.31837905,-857.0271533000001,-819.20869499,-1011.6342392,-12852.452129800002,4180.388545339999,2473.275227029998,7372.138656449999,7224.7150475100025,10230.69922675,10704.229764160002,186.21035826999997,3622.68528851,3080.2581733099996,12656.3249831,7931.831105559999,3.295089330000907,127.38773990000051,-47.37923422999889,1275.0456534500001,1068.4104641800009,-1564.3495632600016,13898.537228050001,-287.19598053,-447.80531273,-1335.1412975,-1545.9370545200002,41639.51500078,38112.663998100004,36484.931085120006,29677.5159747,50220.70043414,50906.27192193,53865.41442154001,42174.93843621001,-707.05628108,-1405.37931765,52696.38985799,59949.41406466,77884.32030160999,79304.47295511,90805.35989654998,98301.96196511001,109402.59960791,111240.32541158999,110973.28065537,109651.11367475997,-1019.0986530399999,-835.0006411300003,7425.7405018,7810.534073560001,6904.212930920001,7543.20128724,7036.3959460900005,6623.20187136,32129.519821759997,31815.623918890004,31395.72274229,33262.076156179995,-778.7592617000001,-1067.2494174599997,-1208.0713411,14883.56641971,13714.827946880001,14151.88113595,13167.84247741,6817.812236600002,44074.114238309994,43923.994797969994,39026.81927879002,36983.12675657002,-1313.90114803,-8472.394264229999,-8372.14216742,-11894.233193149998,-19131.744085549995,-21032.415094709995,-21003.298480129997,-11484.736702030003,-11032.3802089,-11453.566410379995,24486.372755229997,44833.250519299996,-1037.45765888,-1897.72317607,16686.61101908,17391.070799609995,-15673.278720400001,12109.952442480002,12055.741916620002,10901.92227186,-14941.585107469999,-8582.626452719995,-9536.146956339991,-3613.9350529399967,33457.55311225,32014.18547393,27837.541561079997,27055.64841384,378.6158901799991,65928.13092305999,81583.55450827,79626.72648868,42573.83297537,41986.02951774,43974.25375226,96100.75218763,-755.93000912,-3096.9686227800003,-12734.17919307,22141.31693889,22852.45113924,26427.1364445,39797.53380199,38897.44002175,19411.53894553,34851.73177624,61967.342452410005,109731.46067388,-621.80781078,-6167.60676712,90241.19277733,108586.04557013001,134664.1370192,194481.71938418,193822.56804634,251247.78711371,268620.64085449,420597.48808099,513446.60140524,,"01/05/2023, 16:39:07"
