Country,Income group,Development category,UN region,Commodity,total metric tons,retrieved
Afghanistan,low-income,developing,Asia-Pacific,Wheat,"90,000","01/05/2023, 16:38:30"
Algeria,lower-middle income,developing,Africa,Wheat,"181,770","01/05/2023, 16:38:30"
Bangladesh,lower-middle income,developing,Asia-Pacific,Wheat,"380,041","01/05/2023, 16:38:30"
Belgium,high-income,developed,Western Europe and Others,Corn,"158,395","01/05/2023, 16:38:30"
Belgium,high-income,developed,Western Europe and Others,Rapeseed,"220,183","01/05/2023, 16:38:30"
Belgium,high-income,developed,Western Europe and Others,Wheat,"33,000","01/05/2023, 16:38:30"
Bulgaria,upper-middle-income,developed,Eastern Europe,Sunflower meal,"36,835","01/05/2023, 16:38:30"
Bulgaria,upper-middle-income,developed,Eastern Europe,Sunflower oil,"9,701","01/05/2023, 16:38:30"
Bulgaria,upper-middle-income,developed,Eastern Europe,Sunflower pellets,"8,800","01/05/2023, 16:38:30"
China,upper-middle-income,developing,Asia-Pacific,Barley,"126,044","01/05/2023, 16:38:30"
China,upper-middle-income,developing,Asia-Pacific,Corn,"2,009,732","01/05/2023, 16:38:30"
China,upper-middle-income,developing,Asia-Pacific,Sunflower meal,"774,457","01/05/2023, 16:38:30"
China,upper-middle-income,developing,Asia-Pacific,Sunflower oil,"142,750","01/05/2023, 16:38:30"
Djibouti,lower-middle income,developing,Africa,Sunflower oil,"6,200","01/05/2023, 16:38:30"
Djibouti,lower-middle income,developing,Africa,Wheat,541,"01/05/2023, 16:38:30"
Egypt,lower-middle income,developing,Africa,Corn,"398,031","01/05/2023, 16:38:30"
Egypt,lower-middle income,developing,Africa,Soya beans,"52,497","01/05/2023, 16:38:30"
Egypt,lower-middle income,developing,Africa,Sunflower meal,"1,503","01/05/2023, 16:38:30"
Egypt,lower-middle income,developing,Africa,Sunflower oil,"3,100","01/05/2023, 16:38:30"
Egypt,lower-middle income,developing,Africa,Wheat,"202,200","01/05/2023, 16:38:30"
Ethiopia,low-income,developing,Africa,Wheat,"167,759","01/05/2023, 16:38:30"
France,high-income,developed,Western Europe and Others,Canola,"29,256","01/05/2023, 16:38:30"
France,high-income,developed,Western Europe and Others,Rapeseed,"107,557","01/05/2023, 16:38:30"
France,high-income,developed,Western Europe and Others,Sunflower meal,"23,452","01/05/2023, 16:38:30"
France,high-income,developed,Western Europe and Others,Sunflower oil,"9,000","01/05/2023, 16:38:30"
France,high-income,developed,Western Europe and Others,Sunflower seed,"83,940","01/05/2023, 16:38:30"
Georgia,upper-middle-income,developing,Eastern Europe,Soya beans,"6,000","01/05/2023, 16:38:30"
Germany,high-income,developed,Western Europe and Others,Corn,"194,260","01/05/2023, 16:38:30"
Germany,high-income,developed,Western Europe and Others,Rapeseed,"112,217","01/05/2023, 16:38:30"
Greece,high-income,developed,Western Europe and Others,Barley,"18,076","01/05/2023, 16:38:30"
