"1. Interest rates of deposit-taking corporations (excluding National Bank of Ukraine) on loans (new business), breakdown by regions 
and sectors of economy",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,,None.1,None.2,retrieved
Ukraine,,,19.434,15.1539,22.5232,17.055,29.7702,8.6961,0.942,,,,,,,,"01/05/2023, 16:39:11"
including,overdraft,,18.6156,23.5569,18.8285,18.3524,18.9074,19.8358,37.9871,,,,,,,,"01/05/2023, 16:39:11"
,excluding overdraft,,19.5632,13.5127,22.5922,16.9153,34.5042,8.4908,0.9322,,,,,,,,"01/05/2023, 16:39:11"
,including by original maturity,up to 1 year,19.7725,13.1431,0,17.1274,35.5536,7.9903,0.9296,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,18.5465,26.8506,22.5922,15.6125,29.8823,0,35.6957,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,9.9663,0,0,6.7157,17.1293,16.6075,0,,,,,,,,"01/05/2023, 16:39:11"
including by currencies,in national currency,total,22.6619,15.1886,22.5232,20.5549,29.8366,14.0795,36.0613,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,18.7241,23.5569,18.8285,18.5444,18.8999,19.8358,38.1405,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,23.4478,13.5455,22.5922,20.8415,34.619,13.8695,34.5632,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,23.6826,13.1748,0,21.0588,35.6205,13.5138,34.2737,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,21.3926,26.8506,22.5922,18.4978,30.2524,0,35.6957,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,17.1447,0,0,16.1272,17.3132,16.6075,0,,,,,,,,"01/05/2023, 16:39:11"
,in foreign currency,total,5.3585,7.3533,0,5.3611,5.5466,3,0.9201,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,3.5887,0,0,2.804,39.8085,0,28.5707,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,5.3679,7.3533,0,5.3744,4.1072,3,0.92,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,5.3418,7.3533,0,5.3485,3.0246,3,0.92,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,5.4194,0,0,5.4213,5.3078,0,0,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,5.983,0,0,5.9976,3.7515,0,0,,,,,,,,"01/05/2023, 16:39:11"
Autonomous Republic of Crimea and the city of Sevastopol,,,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
including,overdraft,,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,excluding overdraft,,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,including by original maturity,up to 1 year,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
including by currencies,in national currency,total,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,in foreign currency,total,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,,overdraft,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,,excluding overdraft,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,,up to 1 year,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,,over 1 year and up to 5 years,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
,,over 5 years,–,–,–,–,–,–,–,,,,,,,,"01/05/2023, 16:39:11"
regions,,,,,,,,,,,,,,,,,"01/05/2023, 16:39:11"
