RefugeesDate,NoRefugees,retrieved
2022-04-25,85000,"01/05/2023, 16:38:37"
2022-04-27,128300,"01/05/2023, 16:38:37"
2022-05-03,165700,"01/05/2023, 16:38:37"
2022-05-09,180700,"01/05/2023, 16:38:37"
2022-05-18,180894,"01/05/2023, 16:38:37"
2022-05-19,225894,"01/05/2023, 16:38:37"
2022-05-21,1005894,"01/05/2023, 16:38:37"
2022-05-22,1068175,"01/05/2023, 16:38:37"
2022-05-23,1143057,"01/05/2023, 16:38:37"
2022-05-24,1252598,"01/05/2023, 16:38:37"
2022-05-25,1509585,"01/05/2023, 16:38:37"
2022-05-26,1542006,"01/05/2023, 16:38:37"
2022-05-29,1565693,"01/05/2023, 16:38:37"
2022-05-30,1697393,"01/05/2023, 16:38:37"
2022-05-31,3032612,"01/05/2023, 16:38:37"
2022-06-01,4773142,"01/05/2023, 16:38:37"
2022-06-02,4774703,"01/05/2023, 16:38:37"
2022-06-03,4774703,"01/05/2023, 16:38:37"
2022-06-05,4792122,"01/05/2023, 16:38:37"
2022-06-06,4824522,"01/05/2023, 16:38:37"
2022-06-07,4913869,"01/05/2023, 16:38:37"
2022-06-08,4919773,"01/05/2023, 16:38:37"
2022-06-09,4942901,"01/05/2023, 16:38:37"
2022-06-10,4958105,"01/05/2023, 16:38:37"
2022-06-11,4972953,"01/05/2023, 16:38:37"
2022-06-12,4986518,"01/05/2023, 16:38:37"
2022-06-13,5076934,"01/05/2023, 16:38:37"
2022-06-14,5113791,"01/05/2023, 16:38:37"
2022-06-15,5129970,"01/05/2023, 16:38:37"
2022-06-16,5145849,"01/05/2023, 16:38:37"
2022-06-17,5146852,"01/05/2023, 16:38:37"
2022-06-19,5147396,"01/05/2023, 16:38:37"
2022-06-20,5166105,"01/05/2023, 16:38:37"
2022-06-21,5349476,"01/05/2023, 16:38:37"
2022-06-22,5349487,"01/05/2023, 16:38:37"
2022-06-23,5350285,"01/05/2023, 16:38:37"
2022-06-26,5350863,"01/05/2023, 16:38:37"
2022-06-27,5371814,"01/05/2023, 16:38:37"
2022-06-28,5493080,"01/05/2023, 16:38:37"
2022-06-29,5493884,"01/05/2023, 16:38:37"
2022-07-03,5498558,"01/05/2023, 16:38:37"
2022-07-04,5524054,"01/05/2023, 16:38:37"
2022-07-05,5651401,"01/05/2023, 16:38:37"
2022-07-06,5655548,"01/05/2023, 16:38:37"
2022-07-10,5656749,"01/05/2023, 16:38:37"
